试剂耗材统计表,,,,,,,,,,,,,,,,,,,,,,,,,,,
试剂/耗材名称,品牌,规格,采购时间,有效期,单价,存放位置,库存总量,,,,,,,,,,,,,,,,,,,,
L苏氨酸,国药,25g,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
脯氨酸,国药,10g,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
0.25％胰蛋白酶EDTA,gibco,500ml,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
笔状链球菌,gibco,100ml,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
肌红蛋白,索莱宝,100mg,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
花生酸甲酯标品,安谱,100mg,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
山嵛酸甲酯,安谱,100mg,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
棕榈酸甲酯,安谱,100mg,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
硬脂酸甲酯,安谱,100mg,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
己烯雌酚,CATO,250mg,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
L色氨酸,国药,25g,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
DL丙氨酸,国药,25g,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
16种多环芳烃混标,安谱,1ml,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
无水亚硫酸钠,麦克林,500g,,,,北202药品柜-5层,1,,,,,,,,,,,,,,,,,,,,
磷酸二氢钾,麦克林,500g,,,,北202药品柜-5层,3,,,,,,,,,,,,,,,,,,,,
硫代硫酸钠,麦克林,500g,,,,北202药品柜-5层,1,,,,,,,,,,,,,,,,,,,,
磷酸氢二铵,麦克林,100g,,,,北202药品柜-5层,1,,,,,,,,,,,,,,,,,,,,
焦亚硫酸钠,麦克林,100g,,,,北202药品柜-5层,1,,,,,,,,,,,,,,,,,,,,
无水磷酸氢二钠,麦克林,25g,,,,北202药品柜-5层,1,,,,,,,,,,,,,,,,,,,,
碘化钾,麦克林,25g,,,,北202药品柜-5层,2,,,,,,,,,,,,,,,,,,,,
硫酸铵,麦克林,500g,,,,北202药品柜-5层,1,,,,,,,,,,,,,,,,,,,,
硫酸钠,麦克林,1000g,,,,北202药品柜-5层,1,,,,,,,,,,,,,,,,,,,,
碳酸氢钠,麦克林,1000g,,,,北202药品柜-5层,1,,,,,,,,,,,,,,,,,,,,
钠石灰,麦克林,1000g,,,,北202药品柜-5层,2,,,,,,,,,,,,,,,,,,,,
亚硝酸钠,麦克林,500g,,,,北202药品柜-5层,1,,,,,,,,,,,,,,,,,,,,
无水碳酸钠,麦克林,500g,,,,北202药品柜-5层,1,,,,,,,,,,,,,,,,,,,,
氯化钾,麦克林,500g,,,,北202药品柜-5层,1,,,,,,,,,,,,,,,,,,,,
磷酸氢二钠无水,麦克林,500g,,,,北202药品柜-5层,1,,,,,,,,,,,,,,,,,,,,
无水硫酸氢钠,麦克林,250g,,,,北202药品柜-5层,1,,,,,,,,,,,,,,,,,,,,
氢氧化钾,麦克林,500g,,,,北202药品柜-5层,1,,,,,,,,,,,,,,,,,,,,
氢氧化钾,MREDA,500g,,,,北202药品柜-5层,1,,,,,,,,,,,,,,,,,,,,
二水磷酸二氢纳,安谱,500g,,,,北202药品柜-5层,1,,,,,,,,,,,,,,,,,,,,
磷酸二氢铵-HPLC,FLUKA,250g,,,,北202药品柜-5层,1,,,,,,,,,,,,,,,,,,,,
磷酸氢二钾,国药,500g,,,,北202药品柜-5层,1,,,,,,,,,,,,,,,,,,,,
无水硫酸镁,国药,500g,,,,北202药品柜-5层,1,,,,,,,,,,,,,,,,,,,,
硼酸,伊诺凯,500g,,,,北202药品柜-5层,1,,,,,,,,,,,,,,,,,,,,
四硼酸钾-色谱级,源叶,500g,,,,北202药品柜-5层,1,,,,,,,,,,,,,,,,,,,,
无水硫酸钠,罗恩,500g,,,,北202药品柜-5层,1,,,,,,,,,,,,,,,,,,,,
磷酸二氢钾,阿拉丁,100g,,,,北202药品柜-5层,1,,,,,,,,,,,,,,,,,,,,
磷酸氢二钾,阿拉丁,100g,,,,北202药品柜-5层,1,,,,,,,,,,,,,,,,,,,,
氯胺,索莱宝,500g,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
甲酸铵,霍尼韦尔,50g,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
四丁基硫酸氢铵,CNW,25g,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
无水柠檬酸钠,伊诺凯,100g,,,,北202药品柜-4层,2,,,,,,,,,,,,,,,,,,,,
对二甲氨基苯甲醛,麦克林,100g,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
三羟甲基氨基甲烷,麦克林,100g,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
四丁基硫酸氢铵,麦克林,100g,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
L-天冬氨酸钾,麦克林,25g,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
2，2-偶氮二（2-甲基丙基咪）二盐酸盐,麦克林,5g,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
没食子酸,麦克林,100g,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
5-磺基水杨酸，二水合物,麦克林,100g,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
无水乙酸钠,麦克林,500g,,,,北202药品柜-4层,3,,,,,,,,,,,,,,,,,,,,
乙酸钠三水合物,麦克林,500g,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
酒石酸钾钠四水合物,麦克林,500g,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
柠檬酸三钠盐,麦克林,500g,,,,北202药品柜-4层,2,,,,,,,,,,,,,,,,,,,,
2，6二叔丁基对甲酚,麦克林,100g,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
乙二胺四乙酸二钠盐二水合物,CNW,500g,,,,北202药品柜-4层,2,,,,,,,,,,,,,,,,,,,,
苯甲酸,源叶,500g,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
柠檬酸二纳盐,VETEC,100g,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
司盘65,罗恩,500g,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
EDTA，Free acid,索莱宝,500g,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
4-叔丁基茴香醚,源叶,25g,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
Casein,索莱宝,100g,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
磷酸三甲酯,毕得,25g,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
乙二胺四乙酸二钠盐二水合物,索莱宝,100g,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
菲罗嗪,麦克林,1g,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
1，2，4-丁酸醇/BT,源叶,5g,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
氯化锰四水合物,麦克林,500g,,,,北202药品柜-3层,1,,,,,,,,,,,,,,,,,,,,
氯化锰无水,麦克林,500g,,,,北202药品柜-3层,1,,,,,,,,,,,,,,,,,,,,
硫氰酸铵,麦克林,100g,,,,北202药品柜-3层,1,,,,,,,,,,,,,,,,,,,,
酚酞,麦克林,100g,,,,北202药品柜-3层,1,,,,,,,,,,,,,,,,,,,,
亚甲基蓝三水合物,麦克林,25g,,,,北202药品柜-3层,1,,,,,,,,,,,,,,,,,,,,
铁氰化钾,麦克林,100g,,,,北202药品柜-3层,1,,,,,,,,,,,,,,,,,,,,
氯化锰四水合物（99.9%）,麦克林,10g,,,,北202药品柜-3层,1,,,,,,,,,,,,,,,,,,,,
无水硫酸铜,麦克林,500g,,,,北202药品柜-3层,1,,,,,,,,,,,,,,,,,,,,
无水硫酸铜,麦克林,250g,,,,北202药品柜-3层,1,,,,,,,,,,,,,,,,,,,,
氯化钡,麦克林,25g,,,,北202药品柜-3层,1,,,,,,,,,,,,,,,,,,,,
碘,麦克林,100g,,,,北202药品柜-3层,1,,,,,,,,,,,,,,,,,,,,
甲基红,麦克林,25g,,,,北202药品柜-3层,1,,,,,,,,,,,,,,,,,,,,
L-抗坏血酸（99%）,麦克林,100g,,,,北202药品柜-3层,1,,,,,,,,,,,,,,,,,,,,
L-胱氨酸（99%）,麦克林,100g,,,,北202药品柜-3层,1,,,,,,,,,,,,,,,,,,,,
硫酸亚铁铵六水合物,麦克林,500g,,,,北202药品柜-3层,1,,,,,,,,,,,,,,,,,,,,
氧化镁,国药,500g,,,,北202药品柜-3层,1,,,,,,,,,,,,,,,,,,,,
氧化铝,国药,500g,,,,北202药品柜-3层,1,,,,,,,,,,,,,,,,,,,,
氧化铝,益力,500g,,,,北202药品柜-3层,1,,,,,,,,,,,,,,,,,,,,
L-酪氨酸,国药,25g,,,,北202药品柜-3层,1,,,,,,,,,,,,,,,,,,,,
考马斯亮蓝R-25,索莱宝,5g,,,,北202药品柜-3层,1,,,,,,,,,,,,,,,,,,,,
溴甲酚绿,国药,10g,,,,北202药品柜-3层,1,,,,,,,,,,,,,,,,,,,,
考马斯亮蓝G-250,索莱宝,5g,,,,北202药品柜-3层,1,,,,,,,,,,,,,,,,,,,,
L-羟基脯氨酸分析对照品,麦克林,20mg,,,,北202药品柜-3层,1,,,,,,,,,,,,,,,,,,,,
L-Serine（99%HPLC）,麦克林,1g,,,,北202药品柜-3层,1,,,,,,,,,,,,,,,,,,,,
邻苯三酚,索莱宝,100g,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
十二烷基硫酸钠SDS,索莱宝,100g,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
三氟乙酸99%HPLC,FISHERCHEMICAL,100ml,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
单硬脂酸甘油酯亲油性99%,阿拉丁,100g,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
2-硫代巴比妥酸,麦克林,100g,,,,北202药品柜-4层,1,,,,,,,,,,,,,,,,,,,,
氯化钙二水合物,麦克林,500g,,,,北202药品柜-2层,1,,,,,,,,,,,,,,,,,,,,
氯化镁六水合物,麦克林,500g,,,,北202药品柜-2层,1,,,,,,,,,,,,,,,,,,,,
变色硅胶,裕宝,500g,,,,北202药品柜-2层,1,,,,,,,,,,,,,,,,,,,,
碳酸铵,麦克林,500g,,,,北202药品柜-2层,1,,,,,,,,,,,,,,,,,,,,
磷酸氢二钠无水,麦克林,500g,,,,北202药品柜-2层,1,,,,,,,,,,,,,,,,,,,,
四硼酸钠十水,阿拉丁,500g,,,,北202药品柜-2层,1,,,,,,,,,,,,,,,,,,,,
碳酸氢钠,罗恩,500g,,,,北202药品柜-2层,1,,,,,,,,,,,,,,,,,,,,
氯化钠,益力,500g,,,,北202药品柜-2层,1,,,,,,,,,,,,,,,,,,,,
C18反向硅胶,伊诺凯,100g,,,,北202药品柜-2层,2,,,,,,,,,,,,,,,,,,,,
绿色碳化硅,国药,100g,,,,北202药品柜-2层,1,,,,,,,,,,,,,,,,,,,,
氧化镁,麦克林,500g,,,,北202药品柜-3层,1,,,,,,,,,,,,,,,,,,,,
乳糖,coolaber,250g,,,,北202药品柜-2层,1,,,,,,,,,,,,,,,,,,,,
蔗糖,麦克林,500g,,,,北202药品柜-2层,1,,,,,,,,,,,,,,,,,,,,
可溶淀粉,生工,500g,,,,北202药品柜-2层,1,,,,,,,,,,,,,,,,,,,,
氢溴酸,ACROS,500ml,,,,北202药品柜-1层,1,,,,,,,,,,,,,,,,,,,,
二甲苯,麦克林,500ml,,,,北202药品柜-1层,1,,,,,,,,,,,,,,,,,,,,
三乙胺,麦克林,500ml,,,,北202药品柜-1层,1,,,,,,,,,,,,,,,,,,,,
福林酚,麦克林,100ml,,,,北202药品柜-1层,1,,,,,,,,,,,,,,,,,,,,
吡啶,源叶,100ml,,,,北202药品柜-1层,1,,,,,,,,,,,,,,,,,,,,
五酶无菌水,索莱宝,500ml,,,,北202药品柜-1层,1,,,,,,,,,,,,,,,,,,,,
福林酚,源叶,500ml,,,,北202药品柜-1层,1,,,,,,,,,,,,,,,,,,,,
苯酚,伊诺凯,500ml,,,,北202药品柜-1层,1,,,,,,,,,,,,,,,,,,,,
重铬酸钾标准溶液,GENERAL-REAGENT,500ml,,,,北202药品柜-1层,1,,,,,,,,,,,,,,,,,,,,
Tween-20,coolaber,100ml,,,,北202药品柜-1层,1,,,,,,,,,,,,,,,,,,,,
Tris-EDTA缓冲液,北京博奥拓达,500ml,,,,北202药品柜-1层,1,,,,,,,,,,,,,,,,,,,,
甘油,麦克林,500ml,,,,北202药品柜-1层,1,,,,,,,,,,,,,,,,,,,,
铝制钳口瓶盖,,,,,,仓库,700,,,,,,,,,,,,,,,,,,,,
自封袋,苹果,4号,,,,仓库,100,,,,,,,,,,,,,,,,,,,,
自封袋,苹果,7号,,,,仓库,300,,,,,,,,,,,,,,,,,,,,
自封袋,苹果,9号,,,,仓库,700,,,,,,,,,,,,,,,,,,,,
无水乙酸钠,macklin,500g,,,,仓库,5,,,,,,,,,,,,,,,,,,,,
乳胶手套,麦迪康,L,,,,仓库,100×9盒,,,,,,,,,,,,,,,,,,,,
气体收集袋,,,,,,仓库,50,,,,,,,,,,,,,,,,,,,,
酶标板,nest,100/箱,,,,仓库,两箱,,,,,,,,,,,,,,,,,,,,
注射器,治宇,1ml,,,,仓库,200,,,,,,,,,,,,,,,,,,,,
离心管,那样紫,100ml,,,,仓库,30×6袋,,,,,,,,,,,,,,,,,,,,
离心管,nest,50ml,,,,仓库,25×18袋,,,,,,,,,,,,,,,,,,,,
离心管,nest,15ml,,,,仓库,50×9袋,,,,,,,,,,,,,,,,,,,,
容量瓶,,250ml,,,,仓库,12,,,,,,,,,,,,,,,,,,,,
枪头,axygen,10微升,,,,仓库,1000×5袋,,,,,,,,,,,,,,,,,,,,
枪头,biosharp,10ml,,,,仓库,100×11袋,,,,,,,,,,,,,,,,,,,,
枪头,axygen,200微升,,,,仓库,1000×3袋,,,,,,,,,,,,,,,,,,,,
枪头,axygen,1ml,,,,仓库,1000×3袋,,,,,,,,,,,,,,,,,,,,
枪头,servicebio,1ml,,,,仓库,500×9袋,,,,,,,,,,,,,,,,,,,,
枪头,biosharp,5ml,,,,仓库,50×12袋,,,,,,,,,,,,,,,,,,,,
尖底离心管,axygen,1.5ml,,,,仓库,8盒,,,,,,,,,,,,,,,,,,,,
圆底离心管,biosharp,10ml,,,,仓库,100×21袋,,,,,,,,,,,,,,,,,,,,
试管塞,,,,,,仓库,1袋,,,,,,,,,,,,,,,,,,,,
小试管,,,,,,仓库,1盒,,,,,,,,,,,,,,,,,,,,
固相萃取柱,,,,,,仓库,一堆,,,,,,,,,,,,,,,,,,,,
真空泵油,leybonol,5L,,,,仓库,2,,,,,,,,,,,,,,,,,,,,
迷你掌中宝离心机,Kylin-Bell,,,,,仓库,1,,,,,,,,,,,,,,,,,,,,
尼龙滤膜,津腾,13mm,,,,仓库,116,,,,,,,,,,,,,,,,,,,,
聚醚砜滤膜,津腾,13mm,,,,仓库,63,,,,,,,,,,,,,,,,,,,,
聚醚砜滤膜,津腾,25mm,,,,仓库,40,,,,,,,,,,,,,,,,,,,,
口罩,,,,,,仓库,50×7盒,,,,,,,,,,,,,,,,,,,,
异丙醇,Mreda,500ml,,,,仓库,16,,,,,,,,,,,,,,,,,,,,
乙醇,Mreda,500ml,,,,仓库,13,,,,,,,,,,,,,,,,,,,,
乙酸乙酯,J.T.Baker,4L,,,,仓库,4,,,,,,,,,,,,,,,,,,,,
环己烷,霍尼韦尔,4L,,,,仓库,12,,,,,,,,,,,,,,,,,,,,
